Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Complement,0.5885463293919645,1.2730010274920787,0.02666666666666667,0.20533101488612748,0.897,66/199,12.40%,IRF7;CCL5;PFN1;GNAI2;GZMA;IRF1;LAP3;CTSC;PSMB9;RASGRP1;CTSD;CALM1;S100A9;LCP2;CASP4;PLEK;KIF2A;CBLB;GZMK;PLSCR1;ERAP2;LCK;EHD1;GZMB;CASP1;WAS;CALM3;PPP4C;LAMP2;GNG2;GNB2;DOCK10;PIM1;PIK3CG;SERPINA1;GATA3;IRF2;FDX1;APOBEC3G;DOCK9;CEBPB;RHOG;CD46;VCPIP1;PRDM4;TIMP1;CASP10;FCER1G;ATOX1;HSPA1A;DGKH;ITGAM;CASP3;DPP4;CTSH;LRP1;JAK2;ZEB1;ME1;CASP7;USP14;CTSB;APOBEC3F;LIPA;PIK3R5;CTSS
prerank,DNA Repair,0.5796122815547416,1.2381466885788974,0.06914344685242518,0.27860188498892435,0.968,77/150,17.90%,EDF1;CMPK2;PDE4B;APRT;BCAP31;GUK1;EIF1B;NME3;REV3L;NFX1;SUPT5H;SF3A3;TAF13;GTF2F1;ERCC5;DAD1;RBX1;TAF10;SEC61A1;ARL6IP1;HCLS1;TMED2;VPS28;AGO4;POLR2E;MPC2;DUT;DDB2;SRSF6;ERCC3;GPX4;NT5C3A;SURF1;TSG101;VPS37B;SUPT4H1;RPA2;SSRP1;AK3;USP11;ADA;POLR2F;NT5C;POLR3C;POLR2G;IMPDH2;ELOA;CLP1;TAF12;POLR2D;ERCC2;POLR3GL;NUDT21;ITPA;POLR2J;POLA2;NELFCD;ERCC1;TAF1C;POLD4;RAD52;NELFB;XPC;GTF2H3;ALYREF;BRF2;TP53;MPG;POLR1C;POLA1;NUDT9;MRPL40;GTF2H5;TAF6;POLH;RFC5;SNAPC4
prerank,mTORC1 Signaling,0.5701489984016453,1.2295663519861058,0.07077856420626896,0.2869896336328331,0.978,79/198,13.56%,GAPDH;ITGB2;CORO1A;SLC9A3R1;CTSC;SYTL2;ACTR2;CALR;SEC11A;IFI30;HSP90B1;EIF2S2;CANX;SERP1;PPIA;NMT1;TPI1;TBK1;ARPC5L;FGL2;ADIPOR2;NIBAN1;LDLR;BHLHE40;GSR;PSMA3;ELOVL5;ENO1;SLC2A1;G6PD;CFP;ACLY;PRDX1;MAP2K3;NUFIP1;ELOVL6;RPA1;USO1;PIK3R3;SQSTM1;TCEA1;DAPP1;PGM1;GGA2;PSMA4;PITPNB;UFM1;ADD3;GPI;RDH11;XBP1;UCHL5;PPA1;ABCF2;HSPA4;DDX39A;YKT6;GMPS;CCNG1;PDAP1;IDH1;PFKL;M6PR;SDF2L1;FKBP2;SHMT2;RPN1;ME1;NFYC;PSMD14;SLC7A5;ATP6V1D;EBP;DHFR;BCAT1;PSME3;HSPE1;MTHFD2;PSMC4
prerank,Apoptosis,0.5645014399385632,1.1990758710616514,0.11248710010319918,0.37144917087238644,0.997,49/156,9.00%,TGFBR3;PRF1;IRF1;CD2;TXNIP;TNFSF10;CFLAR;CASP4;CD14;ISG20;TAP1;CASP1;XIAP;CDC25B;PDCD4;BCAP31;CREBBP;GCH1;DNAJA1;IFITM3;CASP8;TSPO;ADD1;F2R;SOD1;CD69;FAS;MADD;BCL10;GSR;CASP2;CCND2;IGF2R;SLC20A1;CD38;BAX;HMGB2;PLCB2;BCL2L1;CYLD;ANXA1;SQSTM1;GADD45B;TIMP1;DAP3;GPX4;RARA;CASP3;SMAD7
prerank,Pperoxisome,0.5811983993481125,1.1982396110710793,0.14893617021276595,0.35140379150939394,0.997,41/103,13.76%,VPS4B;ACSL5;TSPO;IDH2;SOD1;GSTK1;BCL10;CTBP1;ELOVL5;MVP;ESR2;FDPS;CNBP;PRDX1;CAT;FIS1;ABCD2;IDE;ABCB1;MLYCD;ERCC3;SCP2;RDH11;ACOT8;ECH1;CADM1;PEX2;ECI2;ACAA1;DHRS3;PEX13;PEX11B;IDH1;SLC23A2;DLG4;ABCD3;ERCC1;ATXN1;YWHAH;SOD2;SLC35B2
prerank,Notch Signaling,-0.5065167884998087,-1.1920353800565175,0.16666666666666666,0.2315270935960591,0.29245283018867924,8/32,4.78%,MAML2;PRKCA;ST3GAL6;SAP30;SKP1;TCF7L2;ARRB1;PPARD
prerank,Fatty Acid Metabolism,0.5613734271515145,1.1881517650336186,0.14609053497942387,0.3638407057127105,0.997,61/151,16.99%,PSME1;HSP90AA1;ERP29;ACSL5;LGALS1;DECR1;CPT1A;UBE2L6;ADIPOR2;HADHB;ACADVL;S100A10;MIF;ELOVL5;HIBCH;SDHC;SERINC1;MLYCD;MDH2;SMS;IDH3B;PPARA;RDH11;OSTC;ACOT8;SDHD;ECHS1;ECH1;ACAA2;MDH1;ACSS1;SDHA;BLVRA;CBR1;HSDL2;ECI2;PDHA1;ACAA1;ALDH3A2;RAP1GDS1;IDH1;D2HGDH;NBN;HSPH1;ME1;GRHPR;UROS;ACO2;CRYZ;UROD;ACADM;YWHAH;DLST;CCDC58;MCEE;ENO2;ALAD;PRDX6;LDHA;CPOX;AUH
prerank,Estrogen Response Early,-0.4028019007059277,-1.1768701570294282,0.10526315789473684,0.16936429744311518,0.31236897274633124,30/195,5.67%,FKBP5;TIAM1;IGF1R;ELF1;CD44;MED13L;IL6ST;CHPT1;SVIL;GAB2;RAB31;FOS;B4GALT1;RPS6KA2;TMEM164;RRP12;SNX24;AREG;FAM102A;FDFT1;KLF4;NRIP1;CBFA2T3;ABHD2;KDM4B;TGIF2;ZNF185;SCARB1;EGR3;ABAT
prerank,TGF-beta Signaling,0.5920927963422332,1.1741778977915578,0.20998864926220204,0.39370013807012827,1.0,21/54,10.36%,ID2;SMAD3;PPP1CA;TGFB1;XIAP;JUNB;TRIM33;ARID4B;SPTBN1;HDAC1;TGFBR1;MAP3K7;SLC20A1;FKBP1A;BMPR2;SMAD7;BMPR1A;THBS1;KLF10;SMURF2;RHOA
prerank,E2F Targets,0.544418954917044,1.1733068098860011,0.12923076923076923,0.3757513934120683,1.0,100/198,21.99%,CTCF;PA2G4;CDC25B;DEK;ANP32E;LYAR;SRSF2;NAA38;SMC6;HMGB2;RAD50;NUP107;DNMT1;NOP56;SMC3;RAN;PSIP1;RPA1;XRCC6;USP1;PRKDC;ATAD2;LBR;LMNB1;ORC2;RFC1;MRE11;DUT;BARD1;PHF5A;RBBP7;GSPT1;RPA2;SMC1A;SSRP1;DDX39A;TUBB;EXOSC8;ILF3;JPT1;MCM6;DCK;SMC4;ING3;EED;PRPS1;BRCA2;SNRPB;NBN;DONSON;NUDT21;IPO7;PPP1R8;NUP153;SRSF1;CBX5;POLA2;BRMS1L;HMGA1;CDKN2A;MTHFD2;POP7;PAICS;HUS1;CTPS1;TIPIN;PMS2;TP53;RANBP1;SUV39H1;MYC;KPNA2;MKI67;MMS22L;NCAPD2;NASP;CDKN1A;RAD21;TFRC;LIG1;PNN;POLD1;CCP110;TBRG4;TOP2A;RRM2;MCM3;POLE4;UNG;DCTPP1;CIT;CENPM;STMN1;BRCA1;ZW10;CDCA8;NOLC1;KIF2C;CENPE;RACGAP1
