group,names,scores,logfoldchanges,pvals,pvals_adj
0,BASP1,24.205914,,1.927609430245414e-129,2.200467386124902e-128
0,MOB3B,23.50929,,3.2772738555445327e-122,3.674073829085799e-121
0,SEMA3C,23.078968,,7.531233222729253e-118,8.368036914143614e-117
0,NRGN,22.675716,,7.780570179322364e-114,8.568909889121546e-113
0,MTSS1,22.408493,,3.2525447641776335e-111,3.5508130613292943e-110
0,FBN2,22.173315,,6.216021905749065e-109,6.641049044603702e-108
0,NHSL1,21.903814,,2.3891461190399576e-106,2.5416448074893166e-105
0,SRGAP1,21.310219,,9.126869885335005e-101,9.42858459228823e-100
0,CD83,21.116209,,5.644637810857278e-99,5.783440379976719e-98
0,SH3RF1,19.518007,,7.719126246350567e-85,7.479773494525743e-84
0,SASH1,19.472492,,1.8790290554002952e-84,1.8067587071156687e-83
0,HIP1,19.266823,,1.0200975163558447e-82,9.733754927059586e-82
0,TAFA2,18.835262,,3.882057086310608e-79,3.662318005953404e-78
0,MTRNR2L8,17.813473,,5.55543927784887e-71,5.1061022774346236e-70
0,MGST1,17.086994,,1.8549329459829596e-65,1.6741272075658482e-64
0,FRMD3,17.061836,,2.8544447399400275e-65,2.5669467085791615e-64
0,SGK1,16.342031,,4.957278996336666e-60,4.333285835958624e-59
0,EEPD1,16.0567,,5.131378184289936e-58,4.423601883008565e-57
0,NETO2,16.033243,,7.487165226444316e-58,6.43227253130955e-57
0,VNN3,15.668501,,2.483703728697182e-55,2.1048336683874425e-54
0,TPST1,15.203062,,3.374697390292763e-52,2.8029048092132585e-51
0,SPOCK1,15.036855,,4.210895494897528e-51,3.4858406414714635e-50
0,ADGRB3,14.754495,,2.8783959667291512e-49,2.3671019463233152e-48
0,PHACTR2,14.2280655,,6.135584130408422e-46,4.9163334378272617e-45
0,CALCRL,14.098635,,3.8718549346708193e-45,3.0826870498971494e-44
0,GPAT3,14.094255,,4.1196720554096366e-45,3.2695809963568546e-44
0,IGFBP7,13.681041,,1.3179282961460749e-42,1.0200683406703366e-41
0,ANO5,13.568793,,6.132308732333154e-42,4.717160563333195e-41
0,RNF150,13.482968,,1.9701870986236192e-41,1.5062592497122471e-40
0,ME1,13.399792,,6.063321896444989e-41,4.593425679124991e-40
0,AL163541.1,13.202399,,8.498433461388645e-40,6.380205301342826e-39
0,VNN1,13.14675,,1.7764578161706258e-39,1.317847044636963e-38
0,OPHN1,12.747922,,3.201681644790398e-37,2.3133537895884378e-36
0,NEGR1,12.700617,,5.8665533474472755e-37,4.2266234491695064e-36
0,PDE7B,12.232787,,2.0768922966134653e-34,1.4544063701774965e-33
0,TESC,12.231619,,2.1069757012689806e-34,1.4713517466962156e-33
0,AC009226.1,12.181233,,3.91318848405856e-34,2.7174920028184443e-33
0,KIAA1958,12.022583,,2.7038565123841798e-33,1.85195651533163e-32
0,PRICKLE1,11.97442,,4.8381377688474235e-33,3.304738913147147e-32
0,CPED1,11.889359,,1.3443389801692178e-32,9.132737637019143e-32
0,JUN,11.866984,,1.7568626686309496e-32,1.190286360861077e-31
0,MIR646HG,11.802644,,3.78237647599731e-32,2.5556597810792636e-31
0,HDX,11.732599,,8.675281249417482e-32,5.845876852707198e-31
0,STEAP4,11.677501,,1.6610869545389725e-31,1.1163218780503849e-30
0,IL1R2,11.541027,,8.194087841054468e-31,5.4773314445551254e-30
0,DLGAP2,11.502412,,1.282805570830287e-30,8.55203713886858e-30
0,RASAL2,11.4158745,,3.483806785844778e-30,2.316360894843602e-29
0,SDC2,11.336639,,8.639914456594439e-30,5.699152016223244e-29
0,TNFRSF21,11.298956,,1.3278704996572348e-29,8.690251961107558e-29
0,TTTY14,11.058933,,1.9844353109480556e-28,1.2753440301722723e-27
0,STARD13,10.954642,,6.3127357800027125e-28,4.0055430076159344e-27
0,ANGPT1,10.886154,,1.3418838732045875e-27,8.471489098513809e-27
0,DTNA,10.720338,,8.17042859383722e-27,5.106517871148263e-26
0,PRR16,10.53549,,5.927363474238504e-26,3.6498543560581928e-25
0,SPOCK3,10.3193035,,5.763963153650394e-25,3.497550457312133e-24
0,CACNB4,10.079545,,6.80404987872272e-24,4.079166593958465e-23
0,CCDC50,9.8866205,,4.7581879967268785e-23,2.8188317516154493e-22
0,BCL11A,9.397751,,5.574159062664145e-21,3.203539691186291e-20
0,AC013652.1,9.244689,,2.359268106846457e-20,1.340493242526396e-19
0,LUCAT1,9.230488,,2.6940217057983573e-20,1.5272231892280936e-19
0,TCF4,8.9876,,2.5268605156687543e-19,1.4195845593644688e-18
0,THBS1,8.97756,,2.7683846428395474e-19,1.5483135586350938e-18
0,LINC02432,8.601912,,7.839889044936172e-18,4.2240781492112996e-17
0,PKP4,8.373919,,5.57333278475604e-17,2.9582445778959876e-16
0,RGL1,8.354004,,6.59870972183304e-17,3.4876901278187314e-16
0,CDK14,8.146561,,3.7442143166018614e-16,1.933994998244763e-15
0,ALCAM,7.978156,,1.4853519862018519e-15,7.532210883376531e-15
0,AL035446.2,7.9628386,,1.6813650514179485e-15,8.508932446447107e-15
0,SPRED1,7.5095916,,5.931218020678646e-14,2.918906506239491e-13
0,NIPAL2,7.4245977,,1.1312315206122761e-13,5.523591409239629e-13
0,AC114763.1,7.4220104,,1.1535563508246882e-13,5.621619643395166e-13
0,EREG,7.40871,,1.2753397200216595e-13,6.203014202439978e-13
0,DLEU1,7.381858,,1.5609562951328093e-13,7.548144560603526e-13
0,ANKRD6,7.365737,,1.7617091413285407e-13,8.486074861890851e-13
0,ABCA1,7.3495235,,1.989142982174957e-13,9.563187414302679e-13
0,HLA-DQA1,7.173129,,7.330263968019299e-13,3.4839657642677275e-12
0,AL355075.4,6.8785033,,6.048462846166294e-12,2.8002142806325437e-11
0,TMLHE-AS1,6.4542127,,1.0878280835296156e-10,4.900126502385656e-10
0,NAALADL2,6.43352,,1.246823420985856e-10,5.606220418101871e-10
0,ARHGAP6,6.3599863,,2.0177149271243634e-10,9.039941429768653e-10
0,ACVR2A,6.1898837,,6.020857777920882e-10,2.6688199370216676e-09
0,TEX41,6.143286,,8.083134064403341e-10,3.570288897704656e-09
0,LINC01500,5.9920216,,2.0724847395528442e-09,9.042254535570875e-09
0,PTGS2,5.9376707,,2.8909998646498505e-09,1.252599594735637e-08
0,RNF217-AS1,5.799428,,6.654154634638415e-09,2.8436558267685533e-08
0,TTTY10,5.7656794,,8.132962991341064e-09,3.469694108933901e-08
0,AL139042.1,5.7356997,,9.71107307056899e-09,4.1358914269884965e-08
0,GFOD1,5.664477,,1.4747363401479442e-08,6.227771706705845e-08
0,RUNX2,5.59976,,2.146484793238815e-08,8.958617667941632e-08
0,LGR4,5.437409,,5.4060952899254714e-08,2.213032417303934e-07
0,PTK2,5.4373245,,5.4086512278908147e-08,2.213032417303934e-07
0,CXCL8,5.322925,,1.0211168548497322e-07,4.1441430797472896e-07
0,APBA1,5.197437,,2.0205535448043315e-07,8.082214179217326e-07
0,AC104123.1,5.047934,,4.46613087715536e-07,1.7666656950772781e-06
0,EPS8,4.868138,,1.126548400146611e-06,4.380048212078581e-06
0,AC034195.1,4.788223,,1.6826466796764458e-06,6.521886355335061e-06
0,GMDS-DT,4.6407857,,3.4708679263903242e-06,1.3267843755314695e-05
0,LZTFL1,4.634741,,3.573851039688393e-06,1.3640652823238142e-05
0,LINC02391,4.5886483,,4.461254902168983e-06,1.6924335744191894e-05
0,AC109927.1,4.581736,,4.611317024222798e-06,1.746710994023787e-05
0,LHFPL6,4.573976,,4.785543478209147e-06,1.8099634940276653e-05
0,EPB41L2,4.5086074,,6.525446803627015e-06,2.4568700314860748e-05
0,LY86-AS1,4.491077,,7.086386767475096e-06,2.660055092896057e-05
0,AC105402.3,4.3598633,,1.3014371516320742e-05,4.8272891381011654e-05
0,STON2,4.2468953,,2.16753004710527e-05,7.968860467298787e-05
0,ZFAT,4.2102757,,2.55059227940252e-05,9.308730946724526e-05
0,KIAA0825,4.2096786,,2.5573410275385264e-05,9.319755931262852e-05
0,OVCH1-AS1,4.1552334,,3.2495577853261484e-05,0.00011790848277671075
0,OSBPL5,3.934338,,8.342624266758367e-05,0.00029500085808905116
0,MERTK,3.8667142,,0.00011031158861989292,0.0003878747841768387
0,MEF2C-AS1,3.8365152,,0.00012479246459130142,0.0004375612362948857
0,ABTB2,3.820674,,0.00013308748341176813,0.0004659925889767791
0,RNF175,3.607585,,0.00030906049026380086,0.001055534461283473
0,MSR1,3.5317612,,0.00041280182597680515,0.0014060007696757666
0,AC092546.1,3.5309188,,0.0004141188532227064,0.0014085675279683892
0,ITGA9,3.3851182,,0.0007114757807695359,0.0023907116289298923
0,AMPH,3.3212526,,0.0008961441842593871,0.0030031641563652385
0,LHFPL2,3.2897875,,0.0010026302686654772,0.0033332123293400174
0,AC007319.1,3.2537286,,0.0011390100460861924,0.00376656761271889
0,AL096803.2,3.2487924,,0.0011589602386508481,0.0038274776705774375
0,PAPSS2,3.1652331,,0.0015495870864698196,0.005057399107277479
0,LINC02506,3.1031563,,0.0019146843492314034,0.0062004026853348555
0,DTWD2,2.996411,,0.0027317797175195856,0.008733311117389978
0,AFF2,2.8345542,,0.004588968578336601,0.014286950742019307
0,STXBP5-AS1,2.825081,,0.004726864061630324,0.01467970205475256
0,AC077690.1,2.804457,,0.005040141257421612,0.015613820500066954
0,KCNJ15,2.7675316,,0.00564825815802401,0.017368567521599047
0,EMP1,2.717988,,0.006568020500699783,0.02009798194828575
0,CTDSPL,2.5517786,,0.010717460500096025,0.032477153030594015
0,CASC15,2.5078344,,0.01214735517065832,0.03667679701285725
0,AC113414.1,2.418723,,0.015575087727524107,0.04657621928087353
0,NEDD4L,2.3857045,,0.017046444255282824,0.05061295800262121
0,AC090204.1,2.2059639,,0.02738652270875769,0.07896921196296912
0,PROK2,2.189486,,0.028561526406170396,0.08197912286501262
0,PLEKHG2,2.1450005,,0.031952801201486386,0.09150286712911336
0,SYT1,2.1072965,,0.035091888117735906,0.09969286397084065
0,AL078604.4,1.9911238,,0.04646727771624205,0.12936324531247786
0,EPHB1,1.9500855,,0.05116592224574692,0.14196981755201699
0,AC009522.1,1.9447734,,0.05180224577650911,0.14357606922535784
0,TPRG1,1.8664287,,0.06198140319830675,0.16953337855116726
0,PPP2R3A,1.7746518,,0.07595539480650784,0.20484194931636418
0,SLIT2,1.7670499,,0.07721987020081529,0.2075802962387508
0,AC010168.1,1.5780119,,0.11456288828466855,0.30053223579398886
0,NEK11,1.5395235,,0.12367655461825548,0.32241020494852834
0,KCNMA1,1.5061632,,0.13202525998489661,0.34238915971186884
0,LRP12,1.4559014,,0.1454198763274806,0.3740223156571003
0,SLC35F3,1.4285798,,0.15312503850726158,0.3916124362278098
0,FGF13,1.4132175,,0.1575917540877969,0.40068897227126316
