gene,score,logfoldchange,pval,pval_adj,pct_nz_group,subtype
XAF1,6.413861,0.55309665,1.4187992215500346e-10,7.35883862910618e-08,0.2936436884512086,Naive/resting T cell
RPL37,6.3666224,0.2906028,1.9323607312008093e-10,9.858207533601505e-08,0.5772157564905999,Naive/resting T cell
IFI44L,6.313359,1.4383491,2.7304342407660425e-10,1.370501831816762e-07,0.14077887197851388,Naive/resting T cell
SP110,6.2714243,0.33202335,3.5776036467893324e-10,1.7672226267949847e-07,0.4888093106535363,Naive/resting T cell
OAZ1,6.2621408,0.30774024,3.7972760684529144e-10,1.8464254882852297e-07,0.49843330349149506,Naive/resting T cell
RPL27A,6.2120514,0.2659274,5.229728513042388e-10,2.4677747633897527e-07,0.6016114592658908,Naive/resting T cell
RPS23,6.2119317,0.26159772,5.233712544464128e-10,2.4677747633897527e-07,0.6089973142345568,Naive/resting T cell
RPS26,6.145433,0.31661642,7.974562364285627e-10,3.649535011420128e-07,0.4673231871083259,Naive/resting T cell
PTMA,6.137019,0.15840198,8.408430103371337e-10,3.792323837926319e-07,0.877797672336616,Naive/resting T cell
RPL18,6.123202,0.2861952,9.171347137897319e-10,4.0773188990194936e-07,0.5519247985675918,Naive/resting T cell
RPL13A,6.0844774,0.189566,1.168720153080298e-09,5.122615656881531e-07,0.8393017009847806,Naive/resting T cell
GNAI2,6.0337815,0.22667177,1.6016641523925419e-09,6.922748392007764e-07,0.6875559534467324,Naive/resting T cell
LAP3,5.998403,0.48755896,1.992676433589035e-09,8.380012245039294e-07,0.31177260519247985,Naive/resting T cell
RPL38,5.9859176,0.30618447,2.1517353717383073e-09,8.696364255648848e-07,0.4991047448522829,Naive/resting T cell
S100A6,5.9813557,0.25908604,2.212883285082364e-09,8.828836901508098e-07,0.6163831692032229,Naive/resting T cell
CYBA,5.9543867,0.19911525,2.6104885857319104e-09,1.0154800598497132e-06,0.7123992837958818,Naive/resting T cell
EEF2,5.936067,0.29861662,2.919400620959504e-09,1.094599365352527e-06,0.4941808415398389,Naive/resting T cell
RPL13,5.8601336,0.16496974,4.624948622170537e-09,1.6735860595575244e-06,0.8596687555953447,Naive/resting T cell
RPL23,5.853159,0.27414992,4.823221747054761e-09,1.7252719628545306e-06,0.5306624888093107,Naive/resting T cell
TXNIP,5.8338904,0.15159564,5.4149626636583936e-09,1.9149277056028318e-06,0.9415846016114593,Naive/resting T cell
CD14,5.813067,0.30724576,6.1338537850523875e-09,2.1447812336048347e-06,0.4834377797672337,Naive/resting T cell
S100A8,5.7986755,0.23028651,6.684080630565416e-09,2.2858086727823708e-06,0.6884512085944494,Naive/resting T cell
S100A9,5.721968,0.18574813,1.0529711320143719e-08,3.523490497665296e-06,0.868845120859445,Naive/resting T cell
IFI30,5.6877136,0.25130516,1.2875138339875364e-08,4.245775311621046e-06,0.6000447627573858,Naive/resting T cell
RPS3,5.6809106,0.25019613,1.3397936835315002e-08,4.343164524114613e-06,0.5671441360787824,Naive/resting T cell
RPL7A,5.6188264,0.28586408,1.922589320629391e-08,6.168142232782128e-06,0.4744852282900627,Naive/resting T cell
JUNB,5.5947685,0.25061342,2.2091617435796847e-08,7.01521565920406e-06,0.5908683974932856,Naive/resting T cell
GBP2,5.5834794,0.29952502,2.357536157600584e-08,7.4107601236899165e-06,0.4982094897045658,Naive/resting T cell
STAT2,5.56526,0.3763318,2.6176226648456914e-08,8.146041732999792e-06,0.36324977618621307,Naive/resting T cell
RPL31,5.551813,0.26911193,2.827216107284702e-08,8.7111846790792e-06,0.506490599820949,Naive/resting T cell
GRN,5.532437,0.26900572,3.1581187694276226e-08,9.635358441626237e-06,0.5181289167412713,Naive/resting T cell
HLA-DRB1,5.4752774,0.2314139,4.3682671360236415e-08,1.3198104201267547e-05,0.7226947179946285,Naive/resting T cell
RPS6,5.454673,0.22035049,4.906304444026408e-08,1.454135183791446e-05,0.6365264100268576,Naive/resting T cell
TYROBP,5.4441853,0.24298826,5.204299897236621e-08,1.527903894358525e-05,0.553715308863026,Naive/resting T cell
IRF1,5.3975334,0.23934299,6.75633120225858e-08,1.9289635505897893e-05,0.6217547000895255,Naive/resting T cell
RPS18,5.381164,0.22384614,7.400577881430478e-08,2.074828681712761e-05,0.6347358997314234,Naive/resting T cell
RPS29,5.3761873,0.23563205,7.607967206786462e-08,2.0967982014116743e-05,0.6119068934646374,Naive/resting T cell
FAU,5.367761,0.23286542,7.97199842898843e-08,2.1762157114922803e-05,0.608325872873769,Naive/resting T cell
MALAT1,5.3515472,0.041979823,8.72053390172604e-08,2.3395087501871927e-05,1.0,Naive/resting T cell
RPL21,5.324535,0.21736224,1.0121180029250194e-07,2.69206087615612e-05,0.6157117278424351,Naive/resting T cell
RPL11,5.3100753,0.19564684,1.0957995632041114e-07,2.8656539837741134e-05,0.7338854073410922,Naive/resting T cell
WARS,5.2584147,0.252278,1.4530252976370486e-07,3.768178938538746e-05,0.5781110116383169,Naive/resting T cell
SCO2,5.2568474,0.4263814,1.465456771414077e-07,3.769009481521163e-05,0.29677708146821846,Naive/resting T cell
EEF1G,5.221345,0.2527081,1.776281310252387e-07,4.3525885334688415e-05,0.5170098478066248,Naive/resting T cell
FTH1,5.165043,0.1282323,2.403837691809898e-07,5.7544176130095416e-05,0.9429274843330349,Naive/resting T cell
HERC5,5.1635194,0.9526876,2.4234917611333277e-07,5.757180427974745e-05,0.14189794091316024,Naive/resting T cell
RPS16,5.0988073,0.19891675,3.4180022220005384e-07,7.879128085085685e-05,0.6855416293643688,Naive/resting T cell
AC105402.3,5.082781,0.57323295,3.71948855957779e-07,8.48378816130169e-05,0.28849597135183525,Naive/resting T cell
RPS14,5.0789685,0.19796717,3.794894869660059e-07,8.557762923465292e-05,0.631154879140555,Naive/resting T cell
RPS28,5.077421,0.20548706,3.8259181409894637e-07,8.565652701265619e-05,0.658012533572068,Naive/resting T cell
RPL26,5.063664,0.22111034,4.112746843000641e-07,9.142048696727139e-05,0.5622202327663384,Naive/resting T cell
RPS21,5.0484986,0.27221474,4.452957192690978e-07,9.822822330325357e-05,0.4653088630259624,Naive/resting T cell
RPS24,5.0387287,0.20751852,4.686340638840523e-07,0.00010127702825049797,0.6224261414503134,Naive/resting T cell
RPL39,5.012713,0.2616699,5.366790005354554e-07,0.00011518241721836809,0.49977618621307074,Naive/resting T cell
PARP9,4.9745708,0.40167806,6.539237066265786e-07,0.0001384360935389056,0.29834377797672335,Naive/resting T cell
CUL1,4.943726,0.22517732,7.664341702669415e-07,0.00016007672066246456,0.5799015219337511,Naive/resting T cell
