gene,score,logfoldchange,pval,pval_adj,pct_nz_group,subtype
BMP6,0.009323225,-0.026394261,0.9925612502121203,1.0,0.003133393017009848,Naive/resting T cell
NODAL,0.009299299,-0.1232015,0.992580339694809,1.0,0.003133393017009848,Naive/resting T cell
GPR161,0.009267397,-0.11671108,0.9926057923449989,1.0,0.003133393017009848,Naive/resting T cell
MYL9,0.009203594,-0.22331347,0.9926566976679276,1.0,0.003133393017009848,Naive/resting T cell
GSN-AS1,0.009091939,-0.0016028923,0.9927457820548571,1.0,0.008952551477170993,Naive/resting T cell
SMCR5,0.009091939,0.06636035,0.9927457820548571,1.0,0.008952551477170993,Naive/resting T cell
LINC01060,0.009075988,0.2320182,0.9927585084032554,1.0,0.002909579230080573,Naive/resting T cell
UBXN8,0.008996234,0.12720756,0.9928221401728179,1.0,0.023948075201432408,Naive/resting T cell
GPR153,0.008988259,0.29991192,0.9928285033522919,1.0,0.002909579230080573,Naive/resting T cell
AL133551.1,0.008988259,0.22590081,0.9928285033522919,1.0,0.002909579230080573,Naive/resting T cell
MAP3K2,0.008908506,-0.0065384717,0.9928921351720524,1.0,0.8836168307967771,Naive/resting T cell
KCNJ3,0.00890053,0.2680885,0.9928984983565217,1.0,0.002909579230080573,Naive/resting T cell
AC211486.5,0.008876604,0.123516805,0.992917587912638,1.0,0.002909579230080573,Naive/resting T cell
SORCS3,0.008828752,0.10635546,0.9929557670370226,1.0,0.002909579230080573,Naive/resting T cell
AC098818.2,0.008812801,0.0012928944,0.9929684934154062,1.0,0.01432408236347359,Naive/resting T cell
GRM7-AS1,0.00879685,0.025826463,0.9929812197955787,1.0,0.002909579230080573,Naive/resting T cell
AC027682.6,0.00879685,0.11231651,0.9929812197955787,1.0,0.002909579230080573,Naive/resting T cell
CLIP3,0.008733047,0.070920326,0.9930321253340937,1.0,0.002909579230080573,Naive/resting T cell
DCLK1,0.008725071,0.009567357,0.9930384885284067,1.0,0.002909579230080573,Naive/resting T cell
AC073111.4,0.008725071,-0.044794347,0.9930384885284067,1.0,0.002909579230080573,Naive/resting T cell
PDC,0.008725071,0.044524886,0.9930384885284067,1.0,0.002909579230080573,Naive/resting T cell
AL133410.1,0.008709121,0.11652653,0.9930512149183606,1.0,0.008504923903312443,Naive/resting T cell
KCNH5,0.008541638,0.49890757,0.9931848421189958,1.0,0.0026857654431512983,Naive/resting T cell
AC232271.1,0.0085097365,0.5709418,0.9932102949409054,1.0,0.0026857654431512983,Naive/resting T cell
AC079866.2,0.008477834,-0.14347531,0.9932357477697248,1.0,0.002909579230080573,Naive/resting T cell
UQCC2,0.00844992,-0.047586143,0.9932580190005896,1.0,0.021709937332139658,Naive/resting T cell
HIST1H4H,0.00844992,-0.12351701,0.9932580190005896,1.0,0.009176365264100268,Naive/resting T cell
PIP4P2,0.008402068,0.008595173,0.9932961982657126,1.0,0.25559534467323186,Naive/resting T cell
AGMO,0.008374155,-0.33003905,0.9933184695107955,1.0,0.002909579230080573,Naive/resting T cell
AL109628.2,0.008350228,-0.023387548,0.9933375591535821,1.0,0.02685765443151298,Naive/resting T cell
ODC1,0.008326302,0.031240512,0.9933566488001827,1.0,0.049686660698299016,Naive/resting T cell
ARHGAP20,0.0083103515,0.15614717,0.9933693752333632,1.0,0.0026857654431512983,Naive/resting T cell
HPX,0.00827845,0.21825434,0.9933948281047819,1.0,0.0026857654431512983,Naive/resting T cell
DHRS1,0.008266487,0.07064947,0.9934043729332983,1.0,0.02909579230080573,Naive/resting T cell
LINC01136,0.008262499,0.06390635,0.9934075545430135,1.0,0.014100268576544315,Naive/resting T cell
AC025682.1,0.008262499,0.024640746,0.9934075545430135,1.0,0.05371530886302596,Naive/resting T cell
AC091096.1,0.008262499,0.16507156,0.9934075545430135,1.0,0.0026857654431512983,Naive/resting T cell
IER3-AS1,0.008254523,0.15545109,0.9934139177627586,1.0,0.0026857654431512983,Naive/resting T cell
Z98200.1,0.0082465485,0.18372099,0.9934202809829226,1.0,0.0026857654431512983,Naive/resting T cell
ADCK2,0.008242561,-0.067787655,0.9934234625931615,1.0,0.021933751119068933,Naive/resting T cell
AC112512.1,0.008214647,0.30249235,0.9934457338677593,1.0,0.0026857654431512983,Naive/resting T cell
LOH12CR2,0.008206671,0.2206204,0.9934520970900116,1.0,0.0026857654431512983,Naive/resting T cell
FSIP2,0.008198696,0.14003421,0.9934584603126805,1.0,0.0026857654431512983,Naive/resting T cell
AL391069.2,0.008198696,0.20286423,0.9934584603126805,1.0,0.0026857654431512983,Naive/resting T cell
AL118511.3,0.00819072,0.16721083,0.9934648235357655,1.0,0.0026857654431512983,Naive/resting T cell
AC087362.1,0.0081787575,0.14372191,0.9934743683711722,1.0,0.0026857654431512983,Naive/resting T cell
ITIH2,0.00817477,0.13051938,0.993477549983182,1.0,0.0026857654431512983,Naive/resting T cell
PKN3,0.00817477,0.11185829,0.993477549983182,1.0,0.008504923903312443,Naive/resting T cell
AC092119.2,0.00817477,0.028460018,0.993477549983182,1.0,0.0026857654431512983,Naive/resting T cell
AP001628.1,0.008162807,-0.037588786,0.9934870948198337,1.0,0.02685765443151298,Naive/resting T cell
AC010333.2,0.008162807,0.062119216,0.9934870948198337,1.0,0.024843330349149508,Naive/resting T cell
RPP25L,0.008134893,-0.071460746,0.9935093661089764,1.0,0.008952551477170993,Naive/resting T cell
HSD3B7,0.008118942,0.028855454,0.9935220925621868,1.0,0.0026857654431512983,Naive/resting T cell
CIZ1,0.008114954,0.04108062,0.9935252741757471,1.0,0.06311548791405551,Naive/resting T cell
TMEM132B,0.0081109665,0.0023786044,0.9935284557894104,1.0,0.0026857654431512983,Naive/resting T cell
AC005972.3,0.0081109665,0.077327766,0.9935284557894104,1.0,0.0026857654431512983,Naive/resting T cell
C12orf49,0.0081109665,0.0067980257,0.9935284557894104,1.0,0.0373769024171889,Naive/resting T cell
CTF1,0.008102992,0.09755116,0.9935348190170454,1.0,0.0026857654431512983,Naive/resting T cell
ZNF524,0.008102992,0.005561485,0.9935348190170454,1.0,0.03603401969561325,Naive/resting T cell
CDHR3,0.008095016,0.06279756,0.9935411822450918,1.0,0.0026857654431512983,Naive/resting T cell
AC060834.2,0.008087041,-0.0026587714,0.993547545473549,1.0,0.0026857654431512983,Naive/resting T cell
AC005599.1,0.008079065,0.007191436,0.9935539087024164,1.0,0.0026857654431512983,Naive/resting T cell
AL133351.1,0.008079065,0.0044768318,0.9935539087024164,1.0,0.0026857654431512983,Naive/resting T cell
LINC02739,0.0080471635,0.049252436,0.9935793616219827,1.0,0.0026857654431512983,Naive/resting T cell
PTPRJ-AS1,0.0080471635,0.010102056,0.9935793616219827,1.0,0.0026857654431512983,Naive/resting T cell
OGFR-AS1,0.008031213,0.057589866,0.9935920880842177,1.0,0.0026857654431512983,Naive/resting T cell
AC004223.2,0.008031213,-0.04627969,0.9935920880842177,1.0,0.0026857654431512983,Naive/resting T cell
AC006008.1,0.008031213,0.04177512,0.9935920880842177,1.0,0.0026857654431512983,Naive/resting T cell
SLC29A4,0.008015262,0.05504623,0.993604814548083,1.0,0.0026857654431512983,Naive/resting T cell
ZNF485,0.007991336,-0.0591474,0.9936239042469308,1.0,0.0026857654431512983,Naive/resting T cell
AC004830.2,0.007991336,0.022239793,0.9936239042469308,1.0,0.0026857654431512983,Naive/resting T cell
AL356010.2,0.007959435,-0.10364496,0.9936493571844037,1.0,0.0026857654431512983,Naive/resting T cell
AC022706.1,0.007919557,-0.24378127,0.9936811733653304,1.0,0.0026857654431512983,Naive/resting T cell
SCUBE1,0.007895632,-0.11596579,0.9937002630787126,1.0,0.0026857654431512983,Naive/resting T cell
CARNMT1,0.007887656,-0.025329,0.9937066263173086,1.0,0.08169203222918532,Naive/resting T cell
TRIM9,0.007871705,-0.22308978,0.993719352795701,1.0,0.0026857654431512983,Naive/resting T cell
MT1E,0.007871705,0.021286394,0.993719352795701,1.0,0.0026857654431512983,Naive/resting T cell
LINC01185,0.007787964,0.08476892,0.9937861668334023,1.0,0.013652641002685765,Naive/resting T cell
SLC5A4-AS1,0.0077002347,0.022562427,0.9938561625386748,1.0,0.03670546105640107,Naive/resting T cell
AC013264.1,0.007680296,-0.052524667,0.9938720706601233,1.0,0.008504923903312443,Naive/resting T cell
DCLRE1B,0.007652382,0.035932552,0.9938943420342423,1.0,0.00828111011638317,Naive/resting T cell
LINC01949,0.0075845914,0.19903447,0.9939484296768745,1.0,0.0024619516562220233,Naive/resting T cell
AC135782.3,0.00755269,0.16533354,0.99397388269481,1.0,0.0024619516562220233,Naive/resting T cell
CHRM3-AS2,0.007536739,0.15296161,0.9939866092060792,1.0,0.0024619516562220233,Naive/resting T cell
AC069234.2,0.007536739,0.17480245,0.9939866092060792,1.0,0.0024619516562220233,Naive/resting T cell
CA11,0.007496862,-0.043056853,0.9940184254909384,1.0,0.008504923903312443,Naive/resting T cell
TBPL2,0.007488887,0.1684752,0.9940247887490532,1.0,0.0024619516562220233,Naive/resting T cell
AC112484.1,0.007488887,0.004764724,0.9940247887490532,1.0,0.0024619516562220233,Naive/resting T cell
AC100830.3,0.0074809114,0.12815881,0.9940311520075481,1.0,0.0024619516562220233,Naive/resting T cell
AC099343.4,0.00744901,0.0838598,0.9940566050453202,1.0,0.0024619516562220233,Naive/resting T cell
RADIL,0.007433059,0.19232997,0.9940693315664761,1.0,0.0024619516562220233,Naive/resting T cell
LNP1,0.0074171084,-0.14753585,0.9940820580891409,1.0,0.0024619516562220233,Naive/resting T cell
PRMT5-AS1,0.007409133,-0.040466893,0.9940884213510381,1.0,0.0024619516562220233,Naive/resting T cell
CHMP1B-AS1,0.0073931823,-0.07828974,0.9941011478759602,1.0,0.0024619516562220233,Naive/resting T cell
AC007938.2,0.0073772315,-0.013275346,0.994113874402383,1.0,0.0024619516562220233,Naive/resting T cell
CD70,0.0073772315,0.015757188,0.994113874402383,1.0,0.0024619516562220233,Naive/resting T cell
TMIGD2,0.0073533054,-0.020471636,0.9941329641948241,1.0,0.0024619516562220233,Naive/resting T cell
TEX49,0.00734533,-0.0120614,0.9941393274597181,1.0,0.0024619516562220233,Naive/resting T cell
NPIPB6,0.00734533,-0.034688216,0.9941393274597181,1.0,0.0024619516562220233,Naive/resting T cell
LINC01337,0.0073373546,0.034886345,0.9941456907249848,1.0,0.0024619516562220233,Naive/resting T cell
TBC1D8-AS1,0.0073333667,0.037689425,0.9941488723577578,1.0,0.0024619516562220233,Naive/resting T cell
AL009179.2,0.007329379,-0.0638022,0.9941520539906239,1.0,0.0024619516562220233,Naive/resting T cell
CHMP2A,0.0073253913,0.0026676941,0.994155235623583,1.0,0.11056401074306177,Naive/resting T cell
NTRK1,0.007305453,-0.19344796,0.9941711437897713,1.0,0.0024619516562220233,Naive/resting T cell
GOLGA8N,0.007305453,-0.06251131,0.9941711437897713,1.0,0.03491495076096687,Naive/resting T cell
MACORIS,0.0072735515,-0.18129113,0.9941965968604898,1.0,0.0024619516562220233,Naive/resting T cell
LINC02724,0.0072735515,-0.14444263,0.9941965968604898,1.0,0.0024619516562220233,Naive/resting T cell
GLIPR1L2,0.007257601,-0.18583243,0.9942093233980654,1.0,0.0024619516562220233,Naive/resting T cell
SH3BGRL2,0.007257601,-0.10796269,0.9942093233980654,1.0,0.0024619516562220233,Naive/resting T cell
LINC02777,0.00724165,-0.24642262,0.9942220499371144,1.0,0.0024619516562220233,Naive/resting T cell
SLC38A1,0.00724165,-0.04442501,0.9942220499371144,1.0,0.03312444046553268,Naive/resting T cell
UNC80,0.007225699,-0.31805915,0.9942347764776334,1.0,0.0024619516562220233,Naive/resting T cell
SRI,0.0071937973,-0.02963747,0.9942602295630684,1.0,0.10720680393912264,Naive/resting T cell
XPOT,0.0071778465,-0.018940931,0.9942729561079781,1.0,0.09803043867502238,Naive/resting T cell
TMEM161B,0.007173859,0.01945405,0.9942761377444332,1.0,0.19382273948075202,Naive/resting T cell
LINC01270,0.0070502404,0.14387523,0.9943747685194385,1.0,0.008057296329453895,Naive/resting T cell
ATRIP,0.0070382776,-0.031899042,0.9943843134377347,1.0,0.02775290957923008,Naive/resting T cell
AC073263.2,0.007002388,0.4266366,0.9944129481974399,1.0,0.0022381378692927483,Naive/resting T cell
AC099782.2,0.0069704866,0.071696445,0.9944384013232201,1.0,0.008057296329453895,Naive/resting T cell
PDZD4,0.006938585,0.48749098,0.9944638544546605,1.0,0.0022381378692927483,Naive/resting T cell
AL691420.1,0.0069306097,0.3868731,0.9944702177384019,1.0,0.0022381378692927483,Naive/resting T cell
CCDC96,0.006914659,0.2186673,0.9944829443069395,1.0,0.0022381378692927483,Naive/resting T cell
MOV10L1,0.006914659,0.22816569,0.9944829443069395,1.0,0.0022381378692927483,Naive/resting T cell
CLEC9A,0.0068827574,0.23816301,0.9945083974482225,1.0,0.0022381378692927483,Naive/resting T cell
TMEM234,0.006874782,0.015172791,0.9945147607344175,1.0,0.01387645478961504,Naive/resting T cell
GID4,0.0068707946,0.0016769273,0.9945179423776458,1.0,0.01947179946284691,Naive/resting T cell
LINC00989,0.006850856,0.14809626,0.9945338505950942,1.0,0.0022381378692927483,Naive/resting T cell
AL512274.1,0.006834905,0.22076993,0.9945465771706178,1.0,0.0022381378692927483,Naive/resting T cell
AOC2,0.006834905,0.16721585,0.9945465771706178,1.0,0.0022381378692927483,Naive/resting T cell
ANGPTL5,0.0068269297,0.17440799,0.9945529404589001,1.0,0.0022381378692927483,Naive/resting T cell
AL021978.1,0.0068269297,0.19948179,0.9945529404589001,1.0,0.0022381378692927483,Naive/resting T cell
TSGA13,0.006795028,0.096179314,0.9945783936154897,1.0,0.0022381378692927483,Naive/resting T cell
XCL2,0.006787053,0.09668523,0.9945847569055003,1.0,0.0022381378692927483,Naive/resting T cell
C3orf22,0.0067790775,0.10218916,0.9945911201958553,1.0,0.0022381378692927483,Naive/resting T cell
RASSF8-AS1,0.006771102,0.21493351,0.9945974834865544,1.0,0.0022381378692927483,Naive/resting T cell
YAP1,0.006771102,0.07054536,0.9945974834865544,1.0,0.0022381378692927483,Naive/resting T cell
AC007040.1,0.0067551513,0.15019007,0.9946102100689829,1.0,0.0022381378692927483,Naive/resting T cell
AC020910.5,0.0067551513,0.010131031,0.9946102100689829,1.0,0.0022381378692927483,Naive/resting T cell
GULP1,0.0067511634,0.07192162,0.9946133917148045,1.0,0.0022381378692927483,Naive/resting T cell
AC005920.1,0.006747176,0.20414715,0.9946165733607116,1.0,0.0022381378692927483,Naive/resting T cell
GP9,0.006747176,0.047832683,0.9946165733607116,1.0,0.0022381378692927483,Naive/resting T cell
AC011477.2,0.006731225,0.044577613,0.9946292999451959,1.0,0.0022381378692927483,Naive/resting T cell
TNFAIP8L2,0.0067152744,0.024580741,0.9946420265310466,1.0,0.030214861235452105,Naive/resting T cell
CLDN10,0.006707299,-0.023008488,0.9946483898244833,1.0,0.0022381378692927483,Naive/resting T cell
AC024558.2,0.0066993237,0.0713018,0.9946547531182606,1.0,0.0022381378692927483,Naive/resting T cell
LINC01787,0.006683373,0.008719601,0.9946674797068343,1.0,0.0022381378692927483,Naive/resting T cell
AC103706.1,0.006679385,-0.013105428,0.9946706613541899,1.0,0.020143240823634737,Naive/resting T cell
LINC00111,0.0066514714,-0.055420697,0.994692932888049,1.0,0.0022381378692927483,Naive/resting T cell
AC104472.4,0.006643496,-0.034861077,0.9946992961841976,1.0,0.0022381378692927483,Naive/resting T cell
SPTBN2,0.006643496,-0.0019198253,0.9946992961841976,1.0,0.0022381378692927483,Naive/resting T cell
FGFR2,0.0066355206,-0.00021780573,0.9947056594806833,1.0,0.0022381378692927483,Naive/resting T cell
DLD,0.00661957,0.0064241574,0.9947183860746646,1.0,0.22851387645478963,Naive/resting T cell
AC080078.1,0.00661957,-0.059216786,0.9947183860746646,1.0,0.0022381378692927483,Naive/resting T cell
IQUB,0.006603619,-0.10940754,0.9947311126699897,1.0,0.0022381378692927483,Naive/resting T cell
THEM4,0.006603619,-0.0505686,0.9947311126699897,1.0,0.020590868397493287,Naive/resting T cell
AC087273.2,0.0065717176,-0.12822995,0.9947565658646581,1.0,0.0022381378692927483,Naive/resting T cell
FO681492.1,0.0065717176,-0.11893041,0.9947565658646581,1.0,0.0022381378692927483,Naive/resting T cell
RASGRP1,0.0065477914,-0.04890437,0.9947756557641628,1.0,0.04073410922112802,Naive/resting T cell
TSNAXIP1,0.006460062,-0.33240923,0.9948456520878505,1.0,0.0022381378692927483,Naive/resting T cell
CCDC93,0.0064441115,0.0024929608,0.9948583786964351,1.0,0.36011638316920325,Naive/resting T cell
HOXB-AS1,0.0063803084,0.022426412,0.9949092851438228,1.0,0.013652641002685765,Naive/resting T cell
AL512306.3,0.006328468,-0.053118713,0.9949506466475939,1.0,0.014547896150402865,Naive/resting T cell
ENPEP,0.0062925788,0.3800029,0.9949792815427756,1.0,0.0020143240823634737,Naive/resting T cell
C1QTNF12,0.0062925788,0.39088172,0.9949792815427756,1.0,0.0020143240823634737,Naive/resting T cell
PNLIPRP3,0.0062447265,0.2248421,0.995017461413071,1.0,0.0020143240823634737,Naive/resting T cell
PYCARD-AS1,0.0062327636,0.05436815,0.9950270063824309,1.0,0.00783348254252462,Naive/resting T cell
LEPR,0.0062327636,-0.036669504,0.9950270063824309,1.0,0.060205908683974935,Naive/resting T cell
SLC44A4,0.0062048496,0.2337758,0.9950492779803695,1.0,0.0020143240823634737,Naive/resting T cell
STK32A,0.006188899,0.18444774,0.995062004609496,1.0,0.0020143240823634737,Naive/resting T cell
SEPTIN14,0.006188899,0.1521746,0.995062004609496,1.0,0.0020143240823634737,Naive/resting T cell
SRCAP,0.006172948,0.0022181964,0.9950747312398788,1.0,0.1521933751119069,Naive/resting T cell
LINC01900,0.0061569973,0.2058326,0.9950874578715148,1.0,0.0020143240823634737,Naive/resting T cell
AL606923.2,0.0061569973,0.17899689,0.9950874578715148,1.0,0.0020143240823634737,Naive/resting T cell
EDN1,0.0061569973,0.21526507,0.9950874578715148,1.0,0.0020143240823634737,Naive/resting T cell
GPN2,0.00615301,-0.009229769,0.9950906395296192,1.0,0.05461056401074306,Naive/resting T cell
AL359258.2,0.006149022,0.16020285,0.9950938211878017,1.0,0.0020143240823634737,Naive/resting T cell
AC007368.1,0.0061410465,0.14178339,0.9951001845044006,1.0,0.0020143240823634737,Naive/resting T cell
TLE2,0.006133071,0.11105521,0.9951065478213111,1.0,0.0020143240823634737,Naive/resting T cell
AC064805.2,0.0061250958,0.096483625,0.9951129111385331,1.0,0.007609668755595345,Naive/resting T cell
AC087893.2,0.0061171204,0.19579558,0.9951192744560657,1.0,0.0020143240823634737,Naive/resting T cell
AC022973.5,0.0061011696,0.0070994473,0.995132001092062,1.0,0.0020143240823634737,Naive/resting T cell
UNC119B,0.0061011696,0.013639825,0.995132001092062,1.0,0.013205013428827217,Naive/resting T cell
SIAH3,0.0061011696,0.1749178,0.995132001092062,1.0,0.0020143240823634737,Naive/resting T cell
LINC00663,0.0060931942,0.016405785,0.9951383644105248,1.0,0.0020143240823634737,Naive/resting T cell
PLEKHH2,0.0060931942,0.12034175,0.9951383644105248,1.0,0.0020143240823634737,Naive/resting T cell
AC005071.1,0.006085219,-0.021238698,0.9951447277292969,1.0,0.019695613249776187,Naive/resting T cell
AL161662.1,0.0060772435,0.105456986,0.9951510910483777,1.0,0.0020143240823634737,Naive/resting T cell
ABCB5,0.0060772435,0.030487483,0.9951510910483777,1.0,0.0020143240823634737,Naive/resting T cell
TNIP3,0.0060772435,0.13193706,0.9951510910483777,1.0,0.0020143240823634737,Naive/resting T cell
ZDHHC4,0.0060772435,-0.03019955,0.9951510910483777,1.0,0.026410026857654433,Naive/resting T cell
SARDH,0.0060612927,0.07339964,0.9951638176874643,1.0,0.0020143240823634737,Naive/resting T cell
AC136944.2,0.0060533173,0.03512095,0.9951701810074692,1.0,0.0020143240823634737,Naive/resting T cell
LINC01771,0.006045342,0.061503287,0.9951765443277814,1.0,0.0020143240823634737,Naive/resting T cell
ZMAT4,0.006045342,0.025714165,0.9951765443277814,1.0,0.0020143240823634737,Naive/resting T cell
BOK,0.006045342,-0.012647336,0.9951765443277814,1.0,0.0020143240823634737,Naive/resting T cell
MMP26,0.0060373666,0.013365496,0.9951829076484002,1.0,0.0020143240823634737,Naive/resting T cell
MYRFL,0.0060373666,-0.098780595,0.9951829076484002,1.0,0.0020143240823634737,Naive/resting T cell
AP003071.2,0.0060373666,-0.03055441,0.9951829076484002,1.0,0.0020143240823634737,Naive/resting T cell
WHRN,0.006033379,-0.06718462,0.9951860893088247,1.0,0.01432408236347359,Naive/resting T cell
AP001029.2,0.006029391,0.06654389,0.9951892709693255,1.0,0.0020143240823634737,Naive/resting T cell
LINC00865,0.006029391,-0.0068747248,0.9951892709693255,1.0,0.0020143240823634737,Naive/resting T cell
AC100793.2,0.006021416,-0.025850344,0.9951956342905569,1.0,0.0020143240823634737,Naive/resting T cell
LINC01816,0.006005465,-0.10262177,0.9952083609339358,1.0,0.0020143240823634737,Naive/resting T cell
ZNF597,0.0059895143,-0.029357674,0.9952210875785339,1.0,0.008057296329453895,Naive/resting T cell
SPATA9,0.0059257112,-0.02883078,0.9952719941690524,1.0,0.0020143240823634737,Naive/resting T cell
MTUS2,0.005873871,0.017285464,0.9953133557880303,1.0,0.00783348254252462,Naive/resting T cell
AC104982.2,0.005861908,-0.1822948,0.9953229007788178,1.0,0.0020143240823634737,Naive/resting T cell
AL731567.1,0.0056385975,0.06407484,0.9955010740615722,1.0,0.007609668755595345,Naive/resting T cell
AL078644.2,0.0055508683,0.0187445,0.9955710707702417,1.0,0.007609668755595345,Naive/resting T cell
SPTLC3,0.0055508683,0.26967582,0.9955710707702417,1.0,0.0017905102954341987,Naive/resting T cell
MYEF2,0.0055468804,-0.026692536,0.9955742524396315,1.0,0.00783348254252462,Naive/resting T cell
GLP2R,0.0055269417,0.21980383,0.9955901607876355,1.0,0.0017905102954341987,Naive/resting T cell
NKIRAS1,0.0055229543,0.021426007,0.9955933424574469,1.0,0.052372426141450316,Naive/resting T cell
AC080112.4,0.005499028,-0.043613747,0.9956124324777847,1.0,0.013652641002685765,Naive/resting T cell
LINC01515,0.00549504,0.25343072,0.9956156141480856,1.0,0.0017905102954341987,Naive/resting T cell
SHROOM4,0.0054790895,0.298814,0.9956283408299855,1.0,0.0017905102954341987,Naive/resting T cell
MARVELD3,0.0054790895,0.26758388,0.9956283408299855,1.0,0.0017905102954341987,Naive/resting T cell
ZNF750,0.005471114,0.17224547,0.9956347041713528,1.0,0.0017905102954341987,Naive/resting T cell
MORN4,0.005471114,0.25986552,0.9956347041713528,1.0,0.0017905102954341987,Naive/resting T cell
LINC00520,0.0054551633,0.19038148,0.9956474308549198,1.0,0.0017905102954341987,Naive/resting T cell
RNF139,0.005447188,0.00907828,0.9956537941971189,1.0,0.15420769919427035,Naive/resting T cell
AC245033.2,0.005447188,0.10365078,0.9956537941971189,1.0,0.0017905102954341987,Naive/resting T cell
DNAJC5B,0.0054392125,0.23524521,0.9956601575395944,1.0,0.0017905102954341987,Naive/resting T cell
AC068025.1,0.005431237,0.0707306,0.9956665208823459,1.0,0.0017905102954341987,Naive/resting T cell
AC016134.1,0.005431237,0.06503554,0.9956665208823459,1.0,0.0017905102954341987,Naive/resting T cell
B4GALNT2,0.005431237,0.10943661,0.9956665208823459,1.0,0.0017905102954341987,Naive/resting T cell
AC090241.2,0.005423262,0.24581388,0.995672884225373,1.0,0.0017905102954341987,Naive/resting T cell
SHANK1,0.005423262,0.12765135,0.995672884225373,1.0,0.0017905102954341987,Naive/resting T cell
AC114737.1,0.0054152864,0.053897664,0.9956792475686753,1.0,0.0017905102954341987,Naive/resting T cell
AC125611.4,0.0054152864,0.10111349,0.9956792475686753,1.0,0.0017905102954341987,Naive/resting T cell
LINC02043,0.005407311,0.0918572,0.9956856109122526,1.0,0.0017905102954341987,Naive/resting T cell
ICOS,0.0053993356,0.023217885,0.9956919742561042,1.0,0.0017905102954341987,Naive/resting T cell
HAS1,0.0053993356,0.03365096,0.9956919742561042,1.0,0.0017905102954341987,Naive/resting T cell
TEAD1,0.0053993356,-0.100204594,0.9956919742561042,1.0,0.0017905102954341987,Naive/resting T cell
AC129807.1,0.0053913603,0.016774919,0.9956983376002299,1.0,0.0017905102954341987,Naive/resting T cell
AC016542.1,0.0053913603,0.064974315,0.9956983376002299,1.0,0.0017905102954341987,Naive/resting T cell
AL392046.1,0.0053913603,0.022894727,0.9956983376002299,1.0,0.007609668755595345,Naive/resting T cell
AL121992.1,0.0053754095,0.071653016,0.9957110642893016,1.0,0.0017905102954341987,Naive/resting T cell
ZNRF3-AS1,0.005367434,0.031995144,0.9957174276342468,1.0,0.0017905102954341987,Naive/resting T cell
KBTBD12,0.0053594587,-0.009853631,0.9957237909794645,1.0,0.0017905102954341987,Naive/resting T cell
LBX2-AS1,0.0053594587,0.066073194,0.9957237909794645,1.0,0.0017905102954341987,Naive/resting T cell
ISM2,0.005343508,-0.09656366,0.9957365176707154,1.0,0.0017905102954341987,Naive/resting T cell
AC010401.1,0.0053355326,-0.071198314,0.9957428810167478,1.0,0.0017905102954341987,Naive/resting T cell
ZNF404,0.0053355326,-0.053016912,0.9957428810167478,1.0,0.0017905102954341987,Naive/resting T cell
NPHS1,0.005303631,-0.09951447,0.9957683344035813,1.0,0.0017905102954341987,Naive/resting T cell
MXD3,0.0052996436,0.0011363864,0.9957715160772387,1.0,0.03692927484333035,Naive/resting T cell
ACTN2,0.0052876803,-0.14734337,0.9957810610986145,1.0,0.0017905102954341987,Naive/resting T cell
AC092368.3,0.0052717295,-0.10078776,0.9957937877947213,1.0,0.0017905102954341987,Naive/resting T cell
TTC16,0.005263754,-0.17655827,0.9958001511431761,1.0,0.0017905102954341987,Naive/resting T cell
LINC02251,0.005263754,-0.13486783,0.9958001511431761,1.0,0.0017905102954341987,Naive/resting T cell
AC009065.8,0.005263754,-0.12705779,0.9958001511431761,1.0,0.0017905102954341987,Naive/resting T cell
LINC00472,0.0052318526,-0.3633992,0.9958256045396628,1.0,0.0017905102954341987,Naive/resting T cell
GPR19,0.005215902,-0.37609252,0.9958383312395009,1.0,0.0017905102954341987,Naive/resting T cell
TMC4,0.0052119144,-0.058440764,0.9958415129146261,1.0,0.020590868397493287,Naive/resting T cell
MIR3936HG,0.0050125294,0.025973842,0.9960005967541384,1.0,0.03670546105640107,Naive/resting T cell
AF129075.1,0.0048570097,0.4549034,0.9961246822596522,1.0,0.001566696508504924,Naive/resting T cell
AC005005.4,0.0048490344,0.22826235,0.9961310456214615,1.0,0.001566696508504924,Naive/resting T cell
ADAT3,0.004825108,0.45046672,0.9961501357083642,1.0,0.001566696508504924,Naive/resting T cell
CDH17,0.004825108,0.27781358,0.9961501357083642,1.0,0.001566696508504924,Naive/resting T cell
MYT1,0.004817133,0.25048015,0.9961564990711554,1.0,0.001566696508504924,Naive/resting T cell
AC079193.2,0.0048091575,0.22628361,0.996162862434191,1.0,0.001566696508504924,Naive/resting T cell
PFKFB1,0.0048091575,0.45059878,0.996162862434191,1.0,0.001566696508504924,Naive/resting T cell
AC064875.1,0.0047932067,0.21214847,0.9961755891609942,1.0,0.001566696508504924,Naive/resting T cell
CDC20B,0.0047852313,0.30162442,0.9961819525247609,1.0,0.001566696508504924,Naive/resting T cell
AL691403.2,0.0047852313,0.22086862,0.9961819525247609,1.0,0.001566696508504924,Naive/resting T cell
C1orf141,0.004777256,0.2970198,0.9961883158887704,1.0,0.001566696508504924,Naive/resting T cell
ARL4D,0.004777256,0.034599777,0.9961883158887704,1.0,0.001566696508504924,Naive/resting T cell
PNPLA3,0.004777256,0.16789265,0.9961883158887704,1.0,0.001566696508504924,Naive/resting T cell
GPR137C,0.004773268,0.07568267,0.9961914975708661,1.0,0.00738585496866607,Naive/resting T cell
