group,names,scores,logfoldchanges,pvals,pvals_adj
6,TLR2,-39.91316,,0.0,0.0
6,GAS7,-39.862877,,0.0,0.0
7,PDE3B,-70.867195,,0.0,0.0
7,CD247,-64.28202,,0.0,0.0
7,PRKCA,-61.01224,,0.0,0.0
7,RORA,-60.305344,,0.0,0.0
7,LYZ,-55.921234,,0.0,0.0
7,PLCB1,-55.03423,,0.0,0.0
7,PDE4D,-54.688705,,0.0,0.0
7,SAMSN1,-52.14806,,0.0,0.0
7,JARID2,-51.97837,,0.0,0.0
7,INPP4B,-49.716965,,0.0,0.0
7,CAMK4,-48.329952,,0.0,0.0
7,CDC14A,-48.08918,,0.0,0.0
7,S100A9,-47.357746,,0.0,0.0
7,ANXA1,-46.971584,,0.0,0.0
7,SLC2A3,-46.66018,,0.0,0.0
7,SYTL3,-46.489704,,0.0,0.0
7,SLC8A1,-44.058983,,0.0,0.0
7,IL7R,-43.55696,,0.0,0.0
7,LRMDA,-43.386765,,0.0,0.0
7,DMXL2,-43.092255,,0.0,0.0
8,CD247,-58.288544,,0.0,0.0
8,RORA,-57.434902,,0.0,0.0
8,ZEB1,-50.592445,,0.0,0.0
8,BACH2,-48.28707,,0.0,0.0
8,BCL2,-47.655598,,0.0,0.0
8,CAMK4,-44.551144,,0.0,0.0
8,INPP4B,-42.676754,,0.0,0.0
8,PCED1B,-40.050636,,0.0,0.0
8,CARD11,-39.44624,,0.0,0.0
8,LYZ,37.739025,,0.0,0.0
8,ITGAX,38.198994,,0.0,0.0
8,FAR2,38.948685,,0.0,0.0
8,PHACTR2,38.993065,,0.0,0.0
8,TEX14,39.02956,,0.0,0.0
8,AQP9,39.712048,,0.0,0.0
8,SGMS2,40.107006,,0.0,0.0
8,LPCAT2,42.441433,,0.0,0.0
8,LINC02432,43.88331,,0.0,0.0
8,CPEB4,44.530952,,0.0,0.0
8,FAM13A,44.87567,,0.0,0.0
9,CD247,-56.690292,,0.0,0.0
9,RORA,-54.967716,,0.0,0.0
9,ZEB1,-48.674072,,0.0,0.0
9,BCL2,-48.428753,,0.0,0.0
9,BACH2,-45.98605,,0.0,0.0
9,CAMK4,-42.700848,,0.0,0.0
9,INPP4B,-41.928875,,0.0,0.0
